,2023-07-01
1.0,0.9348632874805889
2.0,0.9234227745571643
3.0,0.9156019824444038
4.0,0.9085981333472395
5.0,0.8994349042066418
6.0,0.893189169059219
7.0,0.8868485035341366
8.0,0.8793465452040017
9.0,0.872807693510969
10.0,0.8672671236192131
11.0,0.8605200048583579
12.0,0.8548020625670436
13.0,0.8489965259452148
14.0,0.8419285810018436
15.0,0.8359453752651272
16.0,0.829874693978445
17.0,0.8225061538006496
18.0,0.8175109963381151
19.0,0.8111564062847435
20.0,0.8033830902430029
21.0,0.7981010005722016
22.0,0.7914127343608507
23.0,0.7832899382698759
24.0,0.7777947277600123
25.0,0.7722348666132008
26.0,0.7638178025954377
27.0,0.7581317894405292
28.0,0.7523875015289009
29.0,0.7436826947136427
30.0,0.7377824394426507
31.0,0.731838612145719
32.0,0.7228671833609022
33.0,0.716810512998429
34.0,0.7106997645561689
35.0,0.7014498499022002
36.0,0.6951892112569114
37.0,0.6888578939585132
38.0,0.6792668804073848
39.0,0.6727559019757653
40.0,0.6662062217344165
41.0,0.6596138493885486
42.0,0.6546363137309144
43.0,0.6496324951439161
44.0,0.6429368426278709
45.0,0.6378749681312789
46.0,0.6327802793944818
47.0,0.6259592668681464
48.0,0.6207944928493574
49.0,0.6155884989621498
50.0,0.6085896454857207
51.0,0.6032839055859964
52.0,0.5979338280741189
53.0,0.5907523452914557
54.0,0.5853089983882115
55.0,0.5798157459809086
56.0,0.5724337152870306
57.0,0.566840711544005
58.0,0.56118615019499
59.0,0.5535826784984496
60.0,0.5478124819294868
61.0,0.5419964974644191
62.0,0.5341959951480194
63.0,0.5282852176916704
64.0,0.5223353521532471
65.0,0.5143660985955625
66.0,0.5083287922210297
67.0,0.5022481695393306
68.0,0.4941009767336848
69.0,0.48793893687830714
70.0,0.4817526594376728
71.0,0.47347987291435856
72.0,0.4672349770073667
73.0,0.460969912755421
74.0,0.4526260372919679
75.0,0.4463478573993748
76.0,0.4400545711640818
77.0,0.43164828394717963
78.0,0.4253148282618864
79.0,0.4189539726210153
80.0,0.410449777712822
81.0,0.4040160531162784
82.0,0.39755229710867723
83.0,0.3889357308362092
84.0,0.3824220347988892
85.0,0.37589072128606243
86.0,0.36718352171345203
87.0,0.36060372437452193
88.0,0.354022882037469
89.0,0.34526507970918424
90.0,0.33865178002066193
91.0,0.33202629463286865
92.0,0.32541060236735014
93.0,0.318794480774228
94.0,0.3121612377718397
95.0,0.3055038905788018
96.0,0.298844916203532
97.0,0.2921693102002201
98.0,0.28548022787140015
99.0,0.27878095494101135
100.0,0.2720745542917777
101.0,0.26535968341816446
102.0,0.2586411030196545
103.0,0.2519132735212873
104.0,0.2451712577077985
105.0,0.23840088671575246
106.0,0.233837124802121
107.0,0.22695798422531605
108.0,0.22233158299054365
109.0,0.21765817688971986
110.0,0.21295382293816337
111.0,0.2082060988836545
112.0,0.20341064567475411
113.0,0.19858219712605388
114.0,0.19371584928579294
115.0,0.18879285342984078
116.0,0.1838065802004961
117.0,0.17875318148188143
118.0,0.17364822180373699
119.0,0.16848618960535108
120.0,0.163255644199429
121.0,0.15794705922862654
122.0,0.15252038442934748
123.0,0.14697697659993297
124.0,0.14133221497643705
125.0,0.13558161881447897
126.0,0.12975451949144884
127.0,0.1238446185837019
128.0,0.11786943610155104
129.0,0.11177453614477839
130.0,0.10557768028606342
131.0,0.09930405354622207
132.0,0.09602814878175053
133.0,0.09275014399977746
134.0,0.08946314323050104
135.0,0.08614341518981014
136.0,0.08278857127095396
137.0,0.07938675099063823
138.0,0.07593450837419644
139.0,0.07244971707257103
140.0,0.06894017105636907
141.0,0.06540934902146307
142.0,0.06186413250727224
143.0,0.05830433583108743
144.0,0.05473021150813672
145.0,0.05114538570507533
146.0,0.04757446347456229
147.0,0.04402532308320309
148.0,0.04048423145030914
149.0,0.036959878813376715
150.0,0.033342971362058424
151.0,0.02949581531896452
152.0,0.0251502024215287
153.0,0.01990355112062093
154.0,0.012722864634181274
